E0000046|A-1|A1|
E0337376|non-stimulatory|nonstimulatory|
E0337377|non-straining|nonstraining|
E0337378|non-strenuous|nonstrenuous|
E0337379|non-stringent|nonstringent|
E0337380|non-subcutaneous|nonsubcutaneous|
E0337381|non-supplemented|nonsupplemented|
E0337382|non-suppressor|nonsuppressor|
E0337383|non-susceptible|nonsusceptible|
E0337384|non-susceptibility|nonsusceptibility|
E0337385|non-syncopal|nonsyncopal|
E0337386|non-templated|nontemplated|
E0337387|non-surgery|nonsurgery|
E0337388|non-textual|nontextual|
E0337389|non-syndromic|nonsyndromic|
E0337390|non-target|nontarget|
E0337391|non-toxicity|nontoxicity|
E0337392|non-thermogenic|nonthermogenic|
E0337393|non-tertiary|nontertiary|
E0337394|non-thyroidal|nonthyroidal|
E0337395|non-transduced|nontransduced|
E0337396|non-transmural|nontransmural|
E0337397|non-twinned|nontwinned|
E0337398|non-transplanted|nontransplanted|
E0337400|non-transferable|nontransferable|
E0337402|non-vectorial|nonvectorial|
E0337403|non-vegetarian|nonvegetarian|
E0337404|non-vegetarian|nonvegetarian|
E0337405|non-vertebral|nonvertebral|
E0337406|non-renewable|nonrenewable|
E0337407|non-wounded|nonwounded|
E0337408|non-word|nonword|
E0337409|non-vitrectomised|nonvitrectomized|
E0337409|non-vitrectomized|nonvitrectomized|
E0337409|nonvitrectomised|nonvitrectomized|
E0337427|occipitoaxial|occipito-axial|
E0337447|octavo-lateral|octavolateral|
E0337450|oculo-dermal|oculodermal|
E0337451|oculo-pharyngeal|oculopharyngeal|
E0337452|oculo-vestibular|oculovestibular|
E0337456|oligo-arabinoside|oligoarabinoside|
E0337457|oligo-asthenozoospermia|oligoasthenozoospermia|
E0337459|oligo-adenosine|oligoadenosine|
E0337463|oligo-dendroblast|oligodendroblast|
E0337464|oligo-clonality|oligoclonality|
E0337466|olecranisation|olecranization|
E0337467|oligo-amine|oligoamine|
E0337474|oligo-astrocytoma|oligoastrocytoma|
E0337475|oligo-deoxynucleoside|oligodeoxynucleoside|
E0337493|mono-oleoylglycerol|monooleoylglycerol|
E0337496|multi-organism|multiorganism|
E0337497|multi-organelle|multiorganelle|
E0337502|onco-antigen|oncoantigen|
E0337504|onco-retroviral|oncoretroviral|
E0337509|morpholinylmercaptobenzothiazole|morpholinyl mercaptobenzothiazole|
E0337510|mercaptoethane sulphonate|mercaptoethane sulfonate|
E0337512|methyl methanethiolsulphonate|methyl methanethiolsulfonate|
E0337518|non-gangrenous|nongangrenous|
E0337520|oligo-probe|oligoprobe|
E0337543|organo-mercurial|organomercurial|
E0337563|oro-anal|oroanal|
E0337565|orthologue|ortholog|
E0337572|over-consumption|overconsumption|
E0337573|over-consume|overconsume|
E0337579|out-compete|outcompete|
E0337580|out group|outgroup|
E0337580|out-group|outgroup|
E0337581|out-pace|outpace|
E0337584|over-associate|overassociate|
E0337585|over-association|overassociation|
E0337586|over-eater|overeater|
E0337587|over-committed|overcommitted|
E0337588|over-detect|overdetect|
E0337589|over-detection|overdetection|
E0337590|over-dominance|overdominance|
E0337591|over-elongation|overelongation|
E0337592|over-elongate|overelongate|
E0337593|over-insertion|overinsertion|
E0337594|over-insert|overinsert|
E0337595|over-learn|overlearn|
E0337596|over-report|overreport|
E0337597|over-referral|overreferral|
E0337598|over-refer|overrefer|
E0337600|over-protectiveness|overprotectiveness|
E0337602|over-sensitivity|oversensitivity|
E0337603|over-sensitive|oversensitive|
E0337604|over-proliferate|overproliferate|
E0337605|over-proliferation|overproliferation|
E0337606|over-ground|overground|
E0337607|over-ground|overground|
E0337608|over-simplistic|oversimplistic|
E0337609|over-transcription|overtranscription|
E0337610|over-transcribe|overtranscribe|
E0337611|over-predict|overpredict|
E0337612|over-prediction|overprediction|
E0337614|over-glycosylated|overglycosylated|
E0337615|over-methylation|overmethylation|
E0337616|over-pressure|overpressure|
E0337617|over-secretion|oversecretion|
E0337618|over-secrete|oversecrete|
E0337619|over-sew|oversew|
E0337620|over-sew|oversew|
E0337621|over-stage|overstage|
E0337622|over-stretch|overstretch|
E0337623|over-stretch|overstretch|
E0337624|over-synthesise|oversynthesize|
E0337624|over-synthesize|oversynthesize|
E0337624|oversynthesise|oversynthesize|
E0337625|over-synthesis|oversynthesis|
E0337626|over-wrap|overwrap|
E0337627|over-wrap|overwrap|
E0337651|pan-cardiac|pancardiac|
E0337653|pan-colonic|pancolonic|
E0337657|palatogingival|palato-gingival|
E0337658|otopalatodigital|oto-palato-digital|
E0337659|pan-malabsorption|panmalabsorption|
E0337661|paraarterially|para-arterially|
E0337674|methylmethane sulphonate|methylmethane sulfonate|
E0337675|methylmethane thiosulphonate|methylmethane thiosulfonate|
E0337676|ethylmethane sulphonate|ethylmethane sulfonate|
E0337678|mis-tune|mistune|
E0337679|mis-fold|misfold|
E0337680|mis-fold|misfold|
E0337693|pantoyl-lactone|pantoyl lactone|
E0337702|phospho-compound|phosphocompound|
E0337705|non-university|nonuniversity|
E0337706|non-threshold|nonthreshold|
E0337707|non-weightbearing|non-weight-bearing|
E0337707|nonweight-bearing|non-weight-bearing|
E0337707|nonweightbearing|non-weight-bearing|
E0337708|non-weightbearing|non-weight-bearing|
E0337708|nonweight-bearing|non-weight-bearing|
E0337708|nonweightbearing|non-weight-bearing|
E0337711|para-colic|paracolic|
E0337712|para-cortical|paracortical|
E0337713|para-crystal|paracrystal|
E0337716|ice fish|icefish|
E0337716|ice-fish|icefish|
E0337721|mid-graft|midgraft|
E0337728|mid-piece|midpiece|
E0337729|mid-flexion|midflexion|
E0337730|mid-hindbrain|midhindbrain|
E0337731|mid-leg|midleg|
E0337732|mid-life|midlife|
E0337733|mid-molecule|midmolecule|
E0337734|mid-sporulation|midsporulation|
E0337735|mid-systole|midsystole|
E0337736|mid-tibial|midtibial|
E0337737|mid-wall|midwall|
E0337738|mid-zone|midzone|
E0337741|mono-cortical|monocortical|
E0337744|multimerise|multimerize|
E0337745|multi-negative|multinegative|
E0337748|non-vaccinate|nonvaccinate|
E0337749|non-silicate|nonsilicate|
E0337750|non-sterol|nonsterol|
E0337751|non-taxon|nontaxon|
E0337752|non-teratogen|nonteratogen|
E0337753|non-transgenic|nontransgenic|
E0337754|non-transplant|nontransplant|
E0337755|non-urea|nonurea|
E0337756|non-valgus|nonvalgus|
E0337757|non-vertex|nonvertex|
E0337779|paralogue|paralog|
E0337795|pepsinise|pepsinize|
E0337819|peri-acetabular|periacetabular|
E0337820|peri-airway|periairway|
E0337821|peri-aneurysm|perianeurysm|
E0337822|peri-appendageal|periappendageal|
E0337828|peri-ellipsoidal|periellipsoidal|
E0337848|pre-aerosol|preaerosol|
E0337859|pre-arrest|prearrest|
E0337860|pre-arrest|prearrest|
E0337861|pre-assembly|preassembly|
E0337862|pre-associated|preassociated|
E0337863|pre-attentively|preattentively|
E0337871|pre-obese|preobese|
E0337897|phospho-intermediate|phosphointermediate|
E0337899|phosphoadenylyl sulfate|phosphoadenylyl sulphate|
E0337900|phospho-anhydride|phosphoanhydride|
E0337901|phospho-enzyme|phosphoenzyme|
E0337904|phospho-inositidase|phosphoinositidase|
E0337905|phospho-isoform|phosphoisoform|
E0337917|photo-adduct|photoadduct|
E0337949|platinised|platinized|
E0337985|peritumoural|peritumoral|
E0337994|alpha phenylglycidate|alpha-phenylglycidate|
E0338003|photo-insertion|photoinsertion|
E0338042|papillotubular|papillo-tubular|
E0338043|papillorenal|papillo-renal|
E0338050|osmol|osmole|
E0338051|oralpharyngeal|oral-pharyngeal|
E0338052|permeabiliser|permeabilizer|
E0338065|orthophenylphenate|ortho-phenylphenate|
E0338066|sodium orthophenylphenate|sodium ortho-phenylphenate|
E0338070|phyllodes tumour|phyllodes tumor|
E0338103|plate-like|platelike|
E0338126|policy-making|policymaking|
E0338127|polarisability|polarizability|
E0338128|polarisable|polarizable|
E0338133|well posedness|well-posedness|
E0338134|ill posedness|ill-posedness|
E0338135|polyhaematoporphyrin|polyhematoporphyrin|
E0338152|protectible|protectable|
E0338155|prostatectomise|prostatectomize|
E0338159|sublocalise|sublocalize|
E0338160|sublocalisation|sublocalization|
E0338229|caecectomised|cecectomized|
E0338231|septo-temporal|septotemporal|
E0338247|semi-group|semigroup|
E0338258|secretagogue|secretagog|
E0338266|Vipera russellii|Vipera russelli|
E0338271|sclerotise|sclerotize|
E0338283|Schwannian|schwannian|
E0338301|sand pit|sandpit|
E0338301|sand-pit|sandpit|
E0338312|runon|run-on|
E0338346|robotised|robotized|
E0338349|ristocetincofactor|ristocetin cofactor|
E0338352|Rhodesian Ridgeback|Rhodesian ridgeback|
E0338354|over-ridingly|overridingly|
E0338389|rhino-conjunctivitis|rhinoconjunctivitis|
E0338405|retro-urethral|retrourethral|
E0338413|retro-orbital|retroorbital|
E0338416|retro-infusion|retroinfusion|
E0338420|retro-element|retroelement|
E0338448|re-slice|reslice|
E0338451|re-stenose|restenose|
E0338454|re-obliteration|reobliteration|
E0338455|re-obliterate|reobliterate|
E0338458|relocalisation|relocalization|
E0338459|relocalise|relocalize|
E0338466|re-internalisation|reinternalization|
E0338466|re-internalization|reinternalization|
E0338466|reinternalisation|reinternalization|
E0338467|re-internalise|reinternalize|
E0338467|re-internalize|reinternalize|
E0338467|reinternalise|reinternalize|
E0338468|re-enter|reenter|
E0338469|re-emerge|reemerge|
E0338470|re-emergence|reemergence|
E0338483|residualise|residualize|
E0338484|resensitisation|resensitization|
E0338485|resensitise|resensitize|
E0338486|resulphate|resulfate|
E0338490|re-score|rescore|
E0338491|re-rupture|rerupture|
E0338496|reperitonealisation|reperitonealization|
E0338497|reperitonealise|reperitonealize|
E0338501|re-occlude|reocclude|
E0338502|reno-ureteral|renoureteral|
E0338515|re-invent|reinvent|
E0338516|re-invention|reinvention|
E0338517|re-inflation|reinflation|
E0338518|re-inflate|reinflate|
E0338519|re-extraction|reextraction|
E0338520|re-extract|reextract|
E0338522|re-interview|reinterview|
E0338523|re-engineer|reengineer|
E0338526|recategorise|recategorize|
E0338527|recategorisation|recategorization|
E0338533|re-endothelialise|reendothelialize|
E0338533|re-endothelialize|reendothelialize|
E0338533|reendothelialise|reendothelialize|
E0338534|re-endothelialisation|reendothelialization|
E0338534|re-endothelialization|reendothelialization|
E0338534|reendothelialisation|reendothelialization|
E0338537|re-excision|reexcision|
E0338538|re-excise|reexcise|
E0338539|re-elevation|reelevation|
E0338540|re-elevate|reelevate|
E0338543|re-irradiation|reirradiation|
E0338544|re-irradiate|reirradiate|
E0338545|re-esterify|reesterify|
E0338547|re-epithelialise|reepithelialize|
E0338547|re-epithelialize|reepithelialize|
E0338547|reepithelialise|reepithelialize|
E0338554|re-equilibration|reequilibration|
E0338555|re-equilibrate|reequilibrate|
E0338559|re-amplify|reamplify|
E0338560|re-amplification|reamplification|
E0338567|re-arterialise|rearterialize|
E0338567|re-arterialize|rearterialize|
E0338567|rearterialise|rearterialize|
E0338568|re-arterialisation|rearterialization|
E0338568|re-arterialization|rearterialization|
E0338568|rearterialisation|rearterialization|
E0338573|re-approximate|reapproximate|
E0338574|re-approximation|reapproximation|
E0338575|re-angioplasty|reangioplasty|
E0338576|re-afferent|reafferent|
E0338587|radio-immuno-assayable|radioimmunoassayable|
E0338587|radio-immunoassayable|radioimmunoassayable|
E0338587|radioimmuno-assayable|radioimmunoassayable|
E0338588|radio-immunotherapeutic|radioimmunotherapeutic|
E0338591|rainforest|rain forest|
E0338603|radio-aerosol|radioaerosol|
E0338604|radio-aerosol|radioaerosol|
E0338616|post-acquisition|postacquisition|
E0338617|post-agonist|postagonist|
E0338618|post-ablation|postablation|
E0338619|post-ablation|postablation|
E0338620|post-acute|postacute|
E0338621|post-amenorrheic|postamenorrheic|
E0338622|post-angiography|postangiography|
E0338623|post-angiography|postangiography|
E0338624|post-anoxia|postanoxia|
E0338625|post-anoxia|postanoxia|
E0338626|post-arrest|postarrest|
E0338627|post-assessment|postassessment|
E0338628|post-biomedical|postbiomedical|
E0338629|post-bolus|postbolus|
E0338631|post-capsomeric|postcapsomeric|
E0338632|post-catheterization|postcatheterization|
E0338633|post-catheterisation|postcatheterization|
E0338633|post-catheterization|postcatheterization|
E0338633|postcatheterisation|postcatheterization|
E0338635|post-chemotherapy|postchemotherapy|
E0338636|post-cleaning|postcleaning|
E0338638|post-coitus|postcoitus|
E0338639|post-coitus|postcoitus|
E0338699|path length|pathlength|
E0338699|path-length|pathlength|
E0338702|pharyngo-esophagogram|pharyngoesophagogram|
E0338702|pharyngo-oesophagogram|pharyngoesophagogram|
E0338704|line shape|lineshape|
E0338704|line-shape|lineshape|
E0338705|line width|linewidth|
E0338705|line-width|linewidth|
E0338709|live-birth|live birth|
E0338709|livebirth|live birth|
E0338710|log-normal|lognormal|
E0338713|chondrospinal|chondro-spinal|
E0338714|chondromucosal|chondro-mucosal|
E0338716|choriodecidual|chorio-decidual|
E0338745|cyanomorpholinodaunomycin|cyanomorpholino-daunomycin|
E0338753|edg|Edg|
E0338755|fibroodontoma|fibro-odontoma|
E0338758|fibromuscular|fibro-muscular|
E0338759|fibroatelectatic|fibro-atelectatic|
E0338760|fibromucinous|fibro-mucinous|
E0338762|DoD|DOD|
E0338770|gastroarterial|gastro-arterial|
E0338771|gastroulcerogenic|gastro-ulcerogenic|
E0338779|haploinsufficient|haplo-insufficient|
E0338780|haploidentification|haplo-identification|
E0338781|haploinsufficiency|haplo-insufficiency|
E0338782|hand surgery|handsurgery|
E0338782|hand-surgery|handsurgery|
E0338783|hippocamponeocortical|hippocampo-neocortical|
E0338784|hippocampocortical|hippocampo-cortical|
E0338787|hippocampoparietal|hippocampo-parietal|
E0338788|postero-anterior|posteroanterior|
E0338789|posteroperipheral|postero-peripheral|
E0338790|posteroanteriorly|postero-anteriorly|
E0338792|Abercrombie's syndrome|Abercrombie syndrome|
E0338811|Collectotrichum dematium|Colletotrichum dematium|
E0338826|acquired hypogammaglobulinaemia|acquired hypogammaglobulinemia|
E0338865|antithyroid antibody|anti-thyroid antibody|
E0338902|bakers' itch|baker's itch|
E0338942|amebic abscess|amoebic abscess|
E0338943|amoeboid movement|ameboid movement|
E0338973|blast cell leucaemia|blast cell leukemia|
E0338973|blast cell leucemia|blast cell leukemia|
E0338973|blast cell leukaemia|blast cell leukemia|
E0338981|breath analyser|breath analyzer|
E0338996|chain-saw|chain saw|
E0338996|chainsaw|chain saw|
E0338998|child-bed fever|childbed fever|
E0338999|child labour|child labor|
E0339039|alpha-haemolysis|alpha-hemolysis|
E0339055|archaeocortex|archeocortex|
E0339087|wool picking|wool-picking|
E0339120|utero-ovarian ligament|uteroovarian ligament|
E0339159|temporomandibular disfunction syndrome|temporomandibular dysfunction syndrome|
E0339196|arrhinia|arhinia|
E0339215|arterial haemorrhage|arterial hemorrhage|
E0339291|basophilic leucocyte|basophilic leukocyte|
E0339294|Battle sign|Battle's sign|
E0339322|bleeding heart pigeon|bleeding-heart pigeon|
E0339327|blue green alga|blue-green alga|
E0339331|body colour|body color|
E0339340|branched chain ketoaciduria|branched-chain ketoaciduria|
E0339342|brain aneurism|brain aneurysm|
E0339352|case-control study|case control study|
E0339388|bird breeders' lung|bird breeder's lung|
E0339413|Brodmann area|Brodmann's area|
E0339428|brass-founders' fever|brass-founders' fever|
E0339429|brass-founders' ague|brass founders' ague|
E0339461|cheese-maker|cheese maker|
E0339461|cheesemaker|cheese maker|
E0339470|crico-esophageal tendon|cricoesophageal tendon|
E0339487|deckhand|deck hand|
E0339517|cephalocoele|cephalocele|
E0339531|chloranaemia|chloranemia|
E0339583|extra-uterine pregnancy|extrauterine pregnancy|
E0339586|eye blink|eyeblink|
E0339587|beta-aminoisobutyricaciduria|beta aminoisobutyricaciduria|
E0339612|choledochogastrostomy|choledocho-gastrostomy|
E0339619|coal miner's lung|coal miners' lung|
E0339621|clasp knife rigidity|clasp-knife rigidity|
E0339670|Clouston syndrome|Clouston's syndrome|
E0339688|congenital nonhaemolytic jaundice|congenital nonhemolytic jaundice|
E0339707|drop-foot gait|drop foot gait|
E0339707|dropfoot gait|drop foot gait|
E0339713|colo-colic|colocolic|
E0339716|nonbullous congenital ichthyosiform erythroderma|non-bullous congenital ichthyosiform erythroderma|
E0339728|congenital sucrose isomaltose malabsorption|congenital sucrose-isomaltose malabsorption|
E0339756|cross-arm flap|cross arm flap|
E0339757|crown-heel length|crown heel length|
E0339770|dietary amenorrhoea|dietary amenorrhea|
E0339772|dorsal external arcuate fibre|dorsal external arcuate fiber|
E0339774|dose rate|dose-rate|
E0339775|drop shaped|drop-shaped|
E0339776|drug induced lupus|drug-induced lupus|
E0339797|carbamoyl phosphate synthetase deficiency|carbamoyl-phosphate synthetase deficiency|
E0339799|cis trans test|cis-trans test|
E0339810|Creutzfeldt Jakob syndrome|Creutzfeldt-Jakob syndrome|
E0339816|cross immunity|cross-immunity|
E0339825|cutaneous T cell lymphoma|cutaneous T-cell lymphoma|
E0339839|de Morgan's spot|De Morgan's spot|
E0339840|cytotoxic T-cell|cytotoxic T cell|
E0339844|Debre-Semelaigne's syndrome|Debre-Semelaigne syndrome|
E0339853|De Sanctis Cacchione syndrome|DeSanctis-Cacchione syndrome|
E0339853|De Sanctis-Cacchione syndrome|DeSanctis-Cacchione syndrome|
E0339853|de Sanctis Cacchione syndrome|DeSanctis-Cacchione syndrome|
E0339853|de Sanctis-Cacchione syndrome|DeSanctis-Cacchione syndrome|
E0339889|deaf mute|deaf-mute|
E0339898|Dejerine Lichtheim phenomenon|Dejerine-Lichtheim phenomenon|
E0339916|Duncan syndrome|Duncan's syndrome|
E0339917|dum dum fever|dum-dum fever|
E0339917|dumdum fever|dum-dum fever|
E0339920|Dupre syndrome|Dupre's syndrome|
E0339925|dysponderal amenorrhoea|dysponderal amenorrhea|
E0339940|familial non-haemolytic jaundice|familial non-hemolytic jaundice|
E0339944|foetal acoustic stimulation test|fetal acoustic stimulation test|
E0339946|fibre cell|fiber cell|
E0339950|film strip|filmstrip|
E0339961|embryonal tumour|embryonal tumor|
E0339966|emprosthotonus|emprosthotonos|
E0339968|Entameba hartmanni|Entamoeba hartmanni|
E0339975|enterokinesia|enterocinesia|
E0339979|ectodermosis erosiva pluri-orificialis|ectodermosis erosiva pluriorificialis|
E0339986|eosinophilia myalgia syndrome|eosinophilia-myalgia syndrome|
E0340024|viral haemagglutination|viral hemagglutination|
E0340065|faecaloma|fecaloma|
E0340070|fer-de-lance|fer de lance|
E0340153|oesophago-oesophagostomy|esophago-esophagostomy|
E0340157|foreign-body giant cell|foreign body giant cell|
E0340168|frost anaesthesia|frost anesthesia|
E0340203|gastro-pancreatic reflex|gastropancreatic reflex|
E0340204|gastro-esophagostomy|gastroesophagostomy|
E0340204|gastro-oesophagostomy|gastroesophagostomy|
E0340205|gastro-intestinal digestion|gastrointestinal digestion|
E0340223|glassblower|glass blower|
E0340230|globulo-maxillary cyst|globulomaxillary cyst|
E0340237|glosso-epiglottic fold|glossoepiglottic fold|
E0340238|glucagon-stimulation test|glucagon stimulation test|
E0340249|Gower's manoeuvre|Gower's maneuver|
E0340260|Gorlin Psaume syndrome|Gorlin-Psaume syndrome|
E0340278|grey syndrome|gray syndrome|
E0340304|gyrus occipitotemporalis lateralis|gyrus occipito-temporalis lateralis|
E0340311|habenulo-interpeduncular tract|habenulointerpeduncular tract|
E0340314|Haemaphysalis leporispalustris|Haemaphysalis leporis-palustris|
E0340363|haemagglutination inhibition test|hemagglutination inhibition test|
E0340370|haemocytophagia|hemocytophagia|
E0340372|haemorrhagic dengue|hemorrhagic dengue|
E0340373|Henle's fibre layer|Henle's fiber layer|
E0340375|hepatic amoebiasis|hepatic amebiasis|
E0340393|high chair|highchair|
E0340394|high protein diet|high-protein diet|
E0340412|home brew|home-brew|
E0340431|hydrogen-ion concentration|hydrogen ion concentration|
E0340456|ice box|icebox|
E0340495|ink blot test|inkblot test|
E0340541|intraarticular sternocostal ligament|intra-articular sternocostal ligament|
E0340545|intrapartum haemorrhage|intrapartum hemorrhage|
E0340553|ischaemic bowel disease|ischemic bowel disease|
E0340567|jack knife seizure|jackknife seizure|
E0340567|jack-knife seizure|jackknife seizure|
E0340572|jackrabbit|jack rabbit|
E0340593|ketosis resistant diabetes|ketosis-resistant diabetes|
E0340647|laser Doppler velocimetry|laser-Doppler velocimetry|
E0340656|Laurence Moon syndrome|Laurence-Moon syndrome|
E0340659|LeFort osteotomy|Le Fort osteotomy|
E0340659|Lefort osteotomy|Le Fort osteotomy|
E0340661|leather-bottle stomach|leather bottle stomach|
E0340666|left gastro-omental artery|left gastroomental artery|
E0340688|leukotome|leucotome|
E0340689|leucocytoclastic angiitis|leukocytoclastic angiitis|
E0340699|lipline|lip line|
E0340738|low calorie diet|low-calorie diet|
E0340742|Long Evans rat|Long-Evans rat|
E0340768|well-differentiated lymphocytic lymphoma|well differentiated lymphocytic lymphoma|
E0340773|mail-order|mail order|
E0340775|mal de Meleda|mal de meleda|
E0340780|manic depressive disorder|manic-depressive disorder|
E0340781|manic depressive reaction|manic-depressive reaction|
E0340785|massive haemorrhage|massive hemorrhage|
E0340811|megalokaryocyte|megalocaryocyte|
E0340813|megalophthalmos|megalophthalmus|
E0340818|mento-anterior position|mentoanterior position|
E0340835|microscopic haematuria|microscopic hematuria|
E0340860|nail biting|nail-biting|
E0340862|nasoalveolar cyst|naso-alveolar cyst|
E0340863|naso-palatine duct cyst|nasopalatine duct cyst|
E0340868|necrotising cellulitis|necrotizing cellulitis|
E0340869|necrotising scleritis|necrotizing scleritis|
E0340907|nonimmune hydrops fetalis|non-immune hydrops fetalis|
E0340908|non-rachitic bow leg|non-rachitic bowleg|
E0340908|nonrachitic bow leg|non-rachitic bowleg|
E0340908|nonrachitic bowleg|non-rachitic bowleg|
E0340909|nonthrombocytopenic purpura|non-thrombocytopenic purpura|
E0340910|nonvenereal syphilis|non-venereal syphilis|
E0340912|non-member|nonmember|
E0340913|non parametric statistics|nonparametric statistics|
E0340913|non-parametric statistics|nonparametric statistics|
E0340914|non-striated muscle|nonstriated muscle|
E0340915|non-toxic goiter|nontoxic goiter|
E0340915|non-toxic goitre|nontoxic goiter|
E0340915|nontoxic goitre|nontoxic goiter|
E0340956|meta analysis|meta-analysis|
E0340956|metaanalysis|meta-analysis|
E0340957|metal-fume fever|metal fume fever|
E0340959|metropathia haemorrhagica|metropathia hemorrhagica|
E0340972|mixed hyperlipidaemia|mixed hyperlipidemia|
E0341040|neuronal ceroid lipofuscinosis|neuronal ceroid-lipofuscinosis|
E0341094|nutritional amenorrhoea|nutritional amenorrhea|
E0341098|nursemaid's elbow|nursemaids' elbow|
E0341099|nutcracker oesophagus|nutcracker esophagus|
E0341103|oculodento-osseous dysplasia|oculo-dento-osseous dysplasia|
E0341103|oculodentoosseous dysplasia|oculo-dento-osseous dysplasia|
E0341107|olfactory anaesthesia|olfactory anesthesia|
E0341113|open-bite|open bite|
E0341113|openbite|open bite|
E0341121|orange-flower water|orange flower water|
E0341205|pigeon breeder's lung|pigeon breeders' lung|
E0341205|pigeon breeders lung|pigeon breeders' lung|
E0341205|pigeon-breeder's lung|pigeon breeders' lung|
E0341205|pigeon-breeders lung|pigeon breeders' lung|
E0341205|pigeon-breeders' lung|pigeon breeders' lung|
E0341233|port-wine naevus|port-wine nevus|
E0341235|post traumatic stress disorder|post-traumatic stress disorder|
E0341238|posterior atlanto-occipital membrane|posterior atlantooccipital membrane|
E0341244|myeloid granulocytic leucaemia|myeloid granulocytic leukemia|
E0341244|myeloid granulocytic leucemia|myeloid granulocytic leukemia|
E0341244|myeloid granulocytic leukaemia|myeloid granulocytic leukemia|
E0341280|pipefitter|pipe fitter|
E0341302|premenopausal amenorrhoea|premenopausal amenorrhea|
E0341325|prostatorrhoea|prostatorrhea|
E0341328|pseudohaematuria|pseudohematuria|
E0341350|relative amenorrhoea|relative amenorrhea|
E0341371|sail maker|sailmaker|
E0341412|Pediococcus urinae-equi|Pediococcus urinaeequi|
E0341443|precuneus|praecuneus|
E0341465|punch drunk encephalopathy|punchdrunk encephalopathy|
E0341469|quadrantanopia|quadrant anopia|
E0341506|port wine naevus|portwine nevus|
E0341506|port wine nevus|portwine nevus|
E0341506|portwine naevus|portwine nevus|
E0341508|post-infectious encephalitis|postinfectious encephalitis|
E0341510|posthemiplegic chorea|post-hemiplegic chorea|
E0341512|post-perfusion syndrome|postperfusion syndrome|
E0341513|post-sphenoidal bone|postsphenoidal bone|
E0341514|post-stenotic dilatation|poststenotic dilatation|
E0341515|post-transfusion hepatitis|posttransfusion hepatitis|
E0341517|pre-excitation syndrome|preexcitation syndrome|
E0341524|male Turner's syndrome|male Turner syndrome|
E0341525|Mauriac's syndrome|Mauriac syndrome|
E0341528|Mohs surgery|Mohs' surgery|
E0341528|Mohs's surgery|Mohs' surgery|
E0341560|uretero-vesical junction|ureterovesical junction|
E0341564|unconjugated hyperbilirubinaemia|unconjugated hyperbilirubinemia|
E0341575|trainsickness|train sickness|
E0341643|tuberculin type hypersensitivity|tuberculin-type hypersensitivity|
E0341651|Zieve's syndrome|Zieve syndrome|
E0341695|vasa previa|vasa praevia|
E0341726|haw finch|hawfinch|
E0341731|acute tubulointerstitial nephritis|acute tubulo-interstitial nephritis|
E0341737|lymphoedema tarda|lymphedema tarda|
E0341762|naevus spilus|nevus spilus|
E0341766|three day fever|three-day fever|
E0341767|three day measles|three-day measles|
E0341778|systematic desensitisation|systematic desensitization|
E0341781|surf board|surfboard|
E0341790|swimmer's itch|swimmers' itch|
E0341810|sleep walking disorder|sleepwalking disorder|
E0341810|sleep-walking disorder|sleepwalking disorder|
E0341815|spasmodic dysmenorrhoea|spasmodic dysmenorrhea|
E0341843|sulphur granule|sulfur granule|
E0341850|shoulder-blade|shoulder blade|
E0341850|shoulderblade|shoulder blade|
E0341854|semi-conscious|semiconscious|
E0341855|self view|self-view|
E0341860|see saw nystagmus|see-saw nystagmus|
E0341860|seesaw nystagmus|see-saw nystagmus|
E0341861|scrivener's palsy|scriveners' palsy|
E0341866|Mobius' syndrome|Mobius syndrome|
E0341866|Moebius syndrome|Mobius syndrome|
E0341874|esophagointestinal|esophago-intestinal|
E0341874|oesophago-intestinal|esophago-intestinal|
E0341874|oesophagointestinal|esophago-intestinal|
E0341915|Parry Romberg syndrome|Parry-Romberg syndrome|
E0341933|pharyngo-esophageal diverticulum|pharyngoesophageal diverticulum|
E0341933|pharyngo-oesophageal diverticulum|pharyngoesophageal diverticulum|
E0341936|pinkeye|pink eye|
E0341943|pleuropneumonia like organism|pleuropneumonia-like organism|
E0341955|pleurothotonus|pleurothotonos|
E0341961|low renin hypertension|low-renin hypertension|
E0341966|oral leukoplakia|oral leucoplakia|
E0341967|Oddi's sphincter|Oddis sphincter|
E0341988|positive end-expiratory pressure|positive end expiratory pressure|
E0342008|pure red-cell aplasia|pure red cell aplasia|
E0342013|rectocolonoscopy|recto-colonoscopy|
E0342014|rectosigmoid colon|recto-sigmoid colon|
E0342015|recto-appendiceal fistula|rectoappendiceal fistula|
E0342043|ventral external arcuate fibre|ventral external arcuate fiber|
E0342044|transverse pontine fibre|transverse pontine fiber|
E0342046|Fiessinger Leroy Reiter syndrome|Fiessinger-Leroy-Reiter syndrome|
E0342046|Fiessinger-Leroy-Reiter's syndrome|Fiessinger-Leroy-Reiter syndrome|
E0342052|hypoxanthine-guanine phosphoribosyltransferase deficiency|hypoxanthine guanine phosphoribosyltransferase deficiency|
E0342068|right gastro-omental artery|right gastroomental artery|
E0342083|sandflea|sand flea|
E0342108|sign writer|signwriter|
E0342110|silo filler's lung|silo-filler's lung|
E0342110|silo fillers' lung|silo-filler's lung|
E0342110|silo-fillers' lung|silo-filler's lung|
E0342168|Rendu Osler Weber syndrome|Rendu-Osler-Weber syndrome|
E0342189|mean cell haemoglobin concentration|mean cell hemoglobin concentration|
